group,species,replicate,lenght (cm),avgdiam(mm),rootvolume(cm^3)
grass,BROERE,10,80.5981,0.3236,0.066
forb,CENJAC,1,86.5406,0.2886,0.057
forb,CENJAC,2,96.5493,0.3104,0.073
forb,CENJAC,3,91.8324,0.2739,0.054
forb,CENJAC,4,116.5005,0.3152,0.091
forb,CENJAC,5,106.3186,0.2866,0.069
forb,CENJAC,6,101.8349,0.3479,0.097
forb,CENJAC,7,161.6153,0.3121,0.124
forb,CENJAC,8,65.4163,0.2861,0.042
forb,CENJAC,9,144.1727,0.3003,0.102
forb,CENJAC,10,101.6307,0.2546,0.052
forb,CLEVIT,1,34.7123,0.3258,0.029
forb,CLEVIT,2,46.7717,0.3469,0.044
forb,CLEVIT,3,48.1388,0.3600,0.049
forb,CLEVIT,4,27.0706,0.3814,0.031
forb,CLEVIT,5,51.0656,0.3399,0.046
forb,CLEVIT,6,26.9676,0.3695,0.029
forb,CLEVIT,7,33.7335,0.3269,0.028
forb,CLEVIT,8,29.1174,0.3449,0.027
forb,CLEVIT,9,33.1317,0.3260,0.028
forb,CLEVIT,10,40.3985,0.3360,0.036
forb,CREBIE,1,61.0459,0.2825,0.038
forb,CREBIE,2,29.4139,0.3290,0.025
forb,CREBIE,3,101.2408,0.4189,0.139
forb,CREBIE,4,31.0763,0.2862,0.020
forb,CREBIE,5,58.4462,0.3123,0.045
forb,CREBIE,6,60.8538,0.3060,0.045
forb,CREBIE,7,82.9136,0.3227,0.068
forb,CREBIE,8,30.2881,0.3337,0.026
forb,CREBIE,9,27.9096,0.3162,0.022
forb,CREBIE,10,62.9144,0.3334,0.055
forb,CRECAP,1,77.1322,0.2113,0.027
forb,CRECAP,2,143.047,0.2725,0.083
forb,CRECAP,3,119.1607,0.2827,0.075
forb,CRECAP,4,73.4208,0.2702,0.042
forb,CRECAP,5,115.7822,0.2466,0.055
forb,CRECAP,6,43.6185,0.2251,0.017
forb,CRECAP,7,64.7807,0.2293,0.027
forb,CRECAP,8,149.8226,0.2485,0.073
forb,CRECAP,9,139.6634,0.2434,0.065
forb,CRECAP,10,57.3475,0.2199,0.022
forb,CRECAP,11,67.6031,0.2559,0.035
forb,CRECAP,12,91.4548,0.2206,0.035
forb,CRECAP,13,67.8541,0.2180,0.025
forb,CRECAP,14,117.7646,0.2317,0.050
forb,CRECAP,15,65.9499,0.2344,0.028
grass,CYNCRI,1,112.1327,0.2926,0.075
grass,CYNCRI,2,106.1089,0.2604,0.057
grass,CYNCRI,3,86.0988,0.3571,0.086
grass,CYNCRI,4,51.5197,0.3793,0.058
grass,CYNCRI,5,48.7166,0.3431,0.045
grass,CYNCRI,6,99.1676,0.3236,0.082
grass,CYNCRI,7,53.2504,0.2788,0.033
grass,CYNCRI,8,73.5854,0.2999,0.052
grass,CYNCRI,9,48.4278,0.2836,0.031
grass,CYNCRI,10,54.3699,0.3059,0.040
grass,DACGLO,1,193.2544,0.2598,0.102
grass,DACGLO,2,49.7396,0.2376,0.022
grass,DACGLO,3,79.7650,0.3329,0.069
grass,DACGLO,4,126.6662,0.2780,0.077
grass,DACGLO,5,133.3674,0.3472,0.126
grass,DACGLO,6,110.793,0.2852,0.071
grass,DACGLO,7,91.19,0.2234,0.036
grass,DACGLO,8,95.0024,0.2654,0.053
grass,DACGLO,9,98.6061,0.2820,0.062
grass,DACGLO,10,90.7213,0.2476,0.044
forb,DAUCAR,1,86.0164,0.2002,0.027
forb,DAUCAR,2,98.871,0.2352,0.043
forb,DAUCAR,3,67.7064,0.2257,0.027
forb,DAUCAR,4,76.4137,0.2645,0.042
forb,DAUCAR,5,97.0625,0.2595,0.051
forb,DAUCAR,6,77.5141,0.2049,0.026
forb,DAUCAR,7,67.7814,0.2868,0.044
forb,DAUCAR,8,42.1697,0.2140,0.015
forb,DAUCAR,9,58.2487,0.2327,0.025
forb,DAUCAR,10,92.7625,0.1675,0.020
forb,DIACAR,1,20.0682,0.2315,0.008
forb,DIACAR,2,41.7932,0.1697,0.009
forb,DIACAR,3,81.479,0.2425,0.038
forb,DIACAR,4,81.6285,0.2421,0.038
forb,DIACAR,5,47.8516,0.2308,0.020
forb,DIACAR,6,68.2941,0.2633,0.037
forb,DIACAR,7,80.1539,0.2101,0.028
forb,DIACAR,8,37.9403,0.2069,0.013
forb,DIACAR,9,245.828,0.2549,0.125
forb,DIACAR,10,27.3366,0.2235,0.011
forb,DIACAR,11,39.9658,0.2289,0.016
forb,FALVUL,1,43.5223,0.2394,0.020
forb,FALVUL,2,36.3895,0.2926,0.024
forb,FALVUL,3,43.2755,0.2754,0.026
forb,FALVUL,4,57.0738,0.2311,0.024
forb,FALVUL,5,203.3674,0.2891,0.134
grass,FESRUP,1,99.084,0.2034,0.032
grass,FESRUP,2,52.7344,0.1826,0.014
grass,FESRUP,3,21.1982,0.2049,0.007
grass,FESRUP,4,19.0517,0.2367,0.008
grass,FESRUP,5,39.9636,0.1995,0.012
grass,FESRUP,6,41.8729,0.2267,0.017
grass,FESRUP,7,111.8582,0.1962,0.034
grass,FESRUP,8,41.9871,0.1966,0.013
grass,FESRUP,9,24.7641,0.2175,0.009
grass,FESRUP,10,28.128,0.2374,0.012
forb,GALALB,1,61.0989,0.1733,0.014
forb,GALALB,2,123.3296,0.2124,0.044
forb,GALALB,3,59.5314,0.2460,0.028
forb,GALALB,4,85.7725,0.2229,0.033
forb,GALALB,5,63.7568,0.2155,0.023
forb,GALALB,6,131.4457,0.2376,0.058
forb,GALALB,7,58.7651,0.2299,0.024
forb,GALALB,8,72.5092,0.2027,0.023
forb,GALALB,9,46.9213,0.1940,0.014
forb,GALALB,10,60.5555,0.1965,0.018
forb,GALVER,1,101.7376,0.1843,0.027
forb,GALVER,2,111.8389,0.1636,0.024
forb,GALVER,3,66.1285,0.1931,0.019
forb,GALVER,4,99.5578,0.1976,0.031
forb,GALVER,5,112.1694,0.1678,0.025
forb,GALVER,6,74.1422,0.1783,0.019
forb,GALVER,7,63.9726,0.2215,0.025
forb,GALVER,8,56.3446,0.1675,0.012
forb,GALVER,9,48.1173,0.1907,0.014
forb,GALVER,10,49.6329,0.1548,0.009
grass,HELPRA,1,244.33,0.3306,0.210
grass,HELPRA,2,396.697,0.2693,0.226
grass,HELPRA,3,102.4262,0.2769,0.062
grass,HELPRA,4,323.5506,0.3388,0.292
grass,HELPRA,5,206.4534,0.2987,0.145
grass,HELPRA,6,264.6133,0.3549,0.262
grass,HELPRA,7,276.7501,0.2822,0.173
grass,HELPRA,8,319.4696,0.3602,0.325
grass,HELPRA,9,57.6300,0.2518,0.029
grass,HELPRA,10,295.9969,0.2427,0.137
grass,HELPRA_real,1,113.4163,0.2857,0.073
grass,HELPRA_real,2,64.7692,0.2046,0.021
grass,HELPRA_real,3,213.0309,0.2809,0.132
grass,HELPRA_real,4,225.1194,0.2992,0.158
grass,HELPRA_real,5,121.4763,0.3949,0.149
grass,HELPRA_real,6,546.6192,0.3016,0.390
grass,HELPRA_real,7,145.8766,0.3189,0.117
grass,HELPRA_real,8,246.1114,0.2726,0.144
grass,HELPRA_real,9,255.8138,0.3203,0.206
grass,HELPRA_real,10,78.9922,0.3630,0.082
forb,HYPRAD,1,142.8364,0.2558,0.073
forb,HYPRAD,2,59.3714,0.2456,0.028
forb,HYPRAD,3,365.8626,0.2929,0.246
forb,HYPRAD,4,154.6166,0.2641,0.085
forb,HYPRAD,5,218.3219,0.2697,0.125
forb,HYPRAD,6,121.5150,0.2509,0.060
forb,HYPRAD,7,189.6697,0.2914,0.126
forb,HYPRAD,8,218.4878,0.2837,0.138
forb,HYPRAD,9,75.0762,0.2362,0.033
forb,HYPRAD,10,106.042,0.2564,0.055
forb,KNAARV,1,190.5831,0.2458,0.090
forb,KNAARV,2,66.9319,0.2382,0.030
forb,KNAARV,3,57.2648,0.2780,0.035
forb,KNAARV,4,76.2601,0.3483,0.073
forb,KNAARV,5,104.4188,0.3233,0.086
forb,KNAARV,6,119.5335,0.3534,0.117
forb,KNAARV,7,46.8138,0.2754,0.028
forb,KNAARV,8,108.2443,0.2998,0.076
forb,KNAARV,9,141.8737,0.3212,0.115
forb,KNAARV,10,74.3551,0.2937,0.050
forb,LATPRA,1,38.7313,0.3790,0.044
forb,LATPRA,2,32.8689,0.3558,0.033
forb,LATPRA,3,42.7804,0.3861,0.050
forb,LATPRA,4,43.4469,0.4237,0.061
forb,LATPRA,5,43.0500,0.3645,0.045
forb,LATPRA,6,38.8958,0.3684,0.041
forb,LATPRA,7,54.6243,0.4121,0.073
forb,LATPRA,8,32.6297,0.3429,0.030
forb,LATPRA,9,59.7993,0.3483,0.057
forb,LATPRA,10,57.7029,0.3374,0.052
forb,LEUVUL,1,137.2184,0.2806,0.085
forb,LEUVUL,2,49.5327,0.2626,0.027
forb,LEUVUL,3,63.066,0.2528,0.032
forb,LEUVUL,4,68.981,0.2584,0.036
forb,LEUVUL,5,57.7272,0.2396,0.026
forb,LEUVUL,6,51.7226,0.2454,0.024
forb,LEUVUL,7,36.7939,0.2864,0.024
forb,LEUVUL,8,36.2223,0.2694,0.021
forb,LEUVUL,9,57.6991,0.2696,0.033
forb,LEUVUL,10,44.4767,0.2840,0.028
grass,LOLMUL,1,283.0164,0.3380,0.254
grass,LOLMUL,2,228.4103,0.2898,0.151
grass,LOLMUL,3,112.5123,0.2684,0.064
grass,LOLMUL,4,246.8208,0.3020,0.177
grass,LOLMUL,5,191.064,0.3757,0.212
grass,LOLMUL,6,235.6643,0.3674,0.250
grass,LOLMUL,7,179.5048,0.3843,0.208
grass,LOLMUL,8,178.1559,0.3658,0.187
grass,LOLMUL,9,267.1059,0.3301,0.229
grass,LOLMUL,10,210.8372,0.2914,0.141
grass,LOLPER,1,108.3882,0.2712,0.063
grass,LOLPER,2,109.8191,0.2562,0.057
grass,LOLPER,3,76.2689,0.2794,0.047
grass,LOLPER,4,103.9358,0.3416,0.095
grass,LOLPER,5,60.2903,0.2347,0.026
grass,LOLPER,6,116.3161,0.2803,0.072
grass,LOLPER,7,130.9786,0.2720,0.076
grass,LOLPER,8,157.9368,0.3036,0.114
grass,LOLPER,9,168.4844,0.2743,0.100
grass,LOLPER,10,93.0699,0.2566,0.048
forb,LOTCOR,1,59.2946,0.3625,0.061
forb,LOTCOR,2,22.48,0.3586,0.023
forb,LOTCOR,3,31.1062,0.3496,0.030
forb,LOTCOR,4,55.2962,0.4204,0.077
forb,LOTCOR,5,30.3307,0.3301,0.026
forb,LOTCOR,6,39.1226,0.3664,0.041
forb,LOTCOR,7,73.566,0.3544,0.073
forb,LOTCOR,8,49.8868,0.3934,0.061
forb,LOTCOR,9,40.215,0.3470,0.038
forb,LOTCOR,10,32.103,0.3775,0.036
forb,MEDFAL,1,40.2455,0.3020,0.029
forb,MEDFAL,2,12.431,0.2443,0.006
forb,MEDFAL,3,44.8773,0.2836,0.028
forb,MEDFAL,4,42.329,0.2397,0.019
forb,MEDFAL,5,22.3166,0.2530,0.011
forb,MEDFAL,6,14.1758,0.2903,0.009
forb,MEDFAL,7,17.9746,0.2994,0.013
forb,MEDFAL,8,18.4575,0.3103,0.014
forb,MEDFAL,9,43.8823,0.2976,0.031
forb,MEDFAL,10,31.9185,0.2782,0.019
forb,MEDLUP,1,104.5029,0.3172,0.083
forb,MEDLUP,2,86.0967,0.3826,0.099
forb,MEDLUP,3,52.6166,0.2695,0.030
forb,MEDLUP,4,107.7177,0.3652,0.113
forb,MEDLUP,5,67.6216,0.3503,0.065
forb,MEDLUP,6,82.1082,0.2824,0.051
forb,MEDLUP,7,70.26,0.3355,0.062
forb,MEDLUP,8,102.4699,0.3904,0.123
forb,MEDLUP,9,72.9202,0.3812,0.083
forb,MEDLUP,10,104.8374,0.4051,0.135
forb,PICHIE,1,135.6393,0.3037,0.098
forb,PICHIE,2,76.8552,0.2885,0.050
forb,PICHIE,3,131.7806,0.2782,0.080
forb,PICHIE,4,129.9161,0.2870,0.084
forb,PICHIE,5,125.2142,0.2871,0.081
forb,PICHIE,6,172.8343,0.2793,0.106
forb,PICHIE,7,188.9843,0.3029,0.136
forb,PICHIE,8,139.5051,0.2867,0.090
forb,PICHIE,9,85.4568,0.2526,0.043
forb,PICHIE,10,71.0843,0.2796,0.044
forb,PIMSAX,1,19.4589,0.1661,0.004
forb,PIMSAX,2,35.195,0.1904,0.010
forb,PIMSAX,3,30.9968,0.2366,0.014
forb,PIMSAX,4,25.5721,0.2264,0.010
forb,PIMSAX,5,26.6649,0.2099,0.009
forb,PIMSAX,6,18.5551,0.2656,0.010
forb,PIMSAX,7,69.7365,0.2038,0.023
forb,PIMSAX,8,16.528,0.1811,0.004
forb,PIMSAX,9,15.167,0.2281,0.006
forb,PIMSAX,10,37.5577,0.2281,0.015
forb,PLALAN,1,164.0924,0.2410,0.075
forb,PLALAN,2,154.9482,0.3081,0.116
forb,PLALAN,3,165.2635,0.2875,0.107
forb,PLALAN,4,234.3528,0.2869,0.151
forb,PLALAN,5,249.0874,0.2994,0.175
forb,PLALAN,6,128.419,0.2646,0.071
forb,PLALAN,7,217.1851,0.3135,0.168
forb,PLALAN,8,195.0391,0.3163,0.153
forb,PLALAN,9,272.8925,0.3792,0.308
forb,PLALAN,10,150.0279,0.2845,0.095
forb,PLAMED,1,62.4661,0.2656,0.035
forb,PLAMED,2,59.1767,0.2644,0.032
forb,PLAMED,3,48.7207,0.3084,0.036
forb,PLAMED,4,82.558,0.2630,0.045
forb,PLAMED,5,37.3864,0.2610,0.020
forb,PLAMED,6,52.6388,0.2613,0.028
forb,PLAMED,7,35.3356,0.2875,0.023
forb,PLAMED,8,39.1768,0.2459,0.019
forb,PLAMED,9,52.4794,0.2919,0.035
forb,PLAMED,10,50.1979,0.2898,0.033
forb,PRUVUL,1,94.0858,0.1752,0.023
forb,PRUVUL,2,69.7379,0.2298,0.029
forb,PRUVUL,3,79.7818,0.2037,0.026
forb,PRUVUL,4,61.7918,0.2488,0.030
forb,PRUVUL,5,68.7462,0.2007,0.022
forb,PRUVUL,6,87.526,0.2299,0.036
forb,PRUVUL,7,92.1753,0.2297,0.038
forb,PRUVUL,8,51.7839,0.2375,0.023
forb,PRUVUL,9,52.5975,0.2074,0.018
forb,PRUVUL,10,62.2638,0.2105,0.022
forb,RANACR,1,47.0515,0.2696,0.027
forb,RANACR,2,68.5488,0.2638,0.037
forb,RANACR,3,47.2018,0.2621,0.025
forb,RANACR,4,96.2797,0.2890,0.063
forb,RANACR,5,136.4821,0.2998,0.096
forb,RANACR,6,215.5981,0.3000,0.152
forb,RANACR,7,45.7609,0.2481,0.022
forb,RANACR,8,80.9544,0.2991,0.057
forb,RANACR,9,130.1782,0.3018,0.093
forb,RANACR,10,73.9976,0.2811,0.046
forb,SCAOCH,1,91.9737,0.2262,0.037
forb,SCAOCH,2,75.9191,0.2440,0.036
forb,SCAOCH,3,74.65,0.2387,0.033
forb,SCAOCH,4,103.1981,0.2389,0.046
forb,SCAOCH,5,45.7465,0.2225,0.018
forb,SCAOCH,6,50.4253,0.2349,0.022
forb,SCAOCH,7,50.4054,0.2584,0.026
forb,SCAOCH,8,61.0033,0.2055,0.020
forb,SCAOCH,9,131.6582,0.2925,0.088
forb,SCAOCH,10,71.419,0.2245,0.028
forb,SECVAR,1,59.08,0.3318,0.051
forb,SECVAR,2,44.5238,0.3000,0.031
forb,SECVAR,3,47.4527,0.3586,0.048
forb,SECVAR,4,42.7656,0.2889,0.028
forb,SECVAR,5,32.9066,0.3674,0.035
forb,SECVAR,6,32.5268,0.3034,0.024
forb,SECVAR,7,148.7882,0.3666,0.157
forb,SECVAR,8,74.0341,0.3402,0.067
forb,SILLAT,1,126.5036,0.3015,0.090
forb,SILLAT,2,44.5308,0.2337,0.019
forb,SILLAT,3,49.8605,0.2463,0.024
forb,SILLAT,4,44.2296,0.2585,0.023
forb,SILLAT,5,149.2908,0.2593,0.079
forb,SILLAT,6,113.9121,0.3238,0.094
forb,SILLAT,7,41.9609,0.3161,0.033
forb,SILLAT,8,100.0023,0.2852,0.064
forb,SILLAT,9,107.2539,0.3296,0.091
forb,SILLAT,10,61.7138,0.2855,0.040
forb,SILVUL,1,77.937,0.3451,0.073
forb,SILVUL,2,46.901,0.2553,0.024
forb,SILVUL,3,111.6909,0.2803,0.069
forb,SILVUL,4,130.1505,0.3184,0.104
forb,SILVUL,5,122.0937,0.3173,0.097
forb,SILVUL,6,94.9055,0.2737,0.056
forb,SILVUL,7,82.1977,0.3832,0.095
forb,SILVUL,8,74.9896,0.2763,0.045
forb,SILVUL,9,70.6825,0.3118,0.054
forb,SILVUL,10,100.2225,0.2823,0.063
forb,STAREC,1,110.5123,0.2698,0.063
forb,STAREC,2,68.9878,0.2861,0.044
forb,STAREC,3,91.0977,0.2677,0.051
forb,STAREC,4,66.488,0.2433,0.031
forb,STAREC,5,92.4126,0.2779,0.056
forb,STAREC,6,92.6623,0.2624,0.050
forb,STAREC,7,94.9353,0.2563,0.049
forb,STAREC,8,57.4895,0.2652,0.032
forb,STAREC,9,53.8748,0.2565,0.028
forb,STAREC,10,61.8972,0.2427,0.029
forb,TRAPRA,1,167.0654,0.3472,0.158
forb,TRAPRA,2,191.9013,0.3705,0.207
forb,TRAPRA,3,145.8443,0.4169,0.199
forb,TRAPRA,4,89.9495,0.4045,0.116
forb,TRAPRA,5,124.1247,0.3857,0.145
forb,TRAPRA,6,97.3769,0.3678,0.103
forb,TRAPRA,7,180.8283,0.4633,0.305
forb,TRAPRA,8,150.3239,0.4030,0.192
forb,TRAPRA,9,244.7757,0.3392,0.221
forb,TRAPRA,10,205.6936,0.3898,0.246
forb,TRIPRA,1,67.9087,0.3817,0.078
forb,TRIPRA,2,79.6536,0.3722,0.087
forb,TRIPRA,3,41.2819,0.3973,0.051
forb,TRIPRA,4,85.9851,0.3656,0.090
forb,TRIPRA,5,75.2376,0.4190,0.104
forb,TRIPRA,6,69.0447,0.3718,0.075
forb,TRIPRA,7,104.852,0.3544,0.103
forb,TRIPRA,8,127.0777,0.3845,0.148
forb,TRIPRA,9,90.5332,0.3920,0.109
forb,TRIPRA,10,135.6804,0.3695,0.145
forb,TRIREP,1,34.1161,0.3171,0.027
forb,TRIREP,2,24.8219,0.2878,0.016
forb,TRIREP,3,90.4266,0.3387,0.081
forb,TRIREP,4,33.3302,0.3164,0.026
forb,TRIREP,5,28.5333,0.3237,0.023
forb,TRIREP,6,47.6613,0.3357,0.042
forb,TRIREP,7,40.8732,0.2994,0.029
forb,TRIREP,8,54.7462,0.2773,0.033
forb,TRIREP,9,40.3377,0.3455,0.038
forb,TRIREP,10,29.812,0.2996,0.021
forb,VERCHA,1,43.2922,0.1834,0.011
forb,VERCHA,2,25.3722,0.1666,0.006
forb,VERCHA,3,65.2537,0.1886,0.018
forb,VERCHA,4,49.1382,0.1884,0.014
forb,VERCHA,5,55.0562,0.1904,0.016
forb,VERCHA,6,62.1995,0.2062,0.021
forb,VERCHA,7,45.3403,0.1757,0.011
forb,VERCHA,8,41.8645,0.1817,0.011
forb,VERCHA,9,61.9277,0.1877,0.017
forb,VERCHA,10,29.4774,0.1706,0.007
forb,VICCRA,1,54.3683,0.3757,0.060
forb,VICCRA,2,42.7576,0.3834,0.049
forb,VICCRA,3,43.3852,0.4611,0.072
forb,VICCRA,4,49.1309,0.4559,0.080
forb,VICCRA,5,53.3487,0.4522,0.086
forb,VICCRA,6,45.9907,0.3809,0.052
forb,VICCRA,7,44.8201,0.3645,0.047
forb,VICCRA,8,39.4109,0.3193,0.032
forb,VICCRA,9,52.985,0.3815,0.061
forb,VICCRA,10,33.5827,0.4303,0.049
