date,plotid,treat,climate,subplot,cotyledon or unk,ach mil,agr eup,cen jac,cre bie,cre cap,cir sp,dia car,dau car,fal vul,fall conv,gal alb,gal ver,ger sp,hyp rad,kna arv,larn sp,leu vul,lot cor,lyc sp,med sp,pim sax,pla lan,pla med,pru vul,sca och,sec var,sil lat,sil vul,ste med,tri sp,ver sp,vic cra,grass,cer hol,ran arc,pic hic,triangle seedling (probably chenopodium sp.)
08/06/2020,22,C,ambient,I,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,
08/06/2020,23,E,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,23,E,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,24,EL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
08/06/2020,24,EL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
08/06/2020,25,EL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,25,EL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
08/06/2020,26,E,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,26,E,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,27,FL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,27,FL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,28,F,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,28,F,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,29,C,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,29,C,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,30,L,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,30,L,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,31,EF,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,31,EF,future,I,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
08/06/2020,32,EFL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,32,EFL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,33,F,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,33,F,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,34,FL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,34,FL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,35,EF,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,35,EF,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,36,EFL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,36,EFL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,37,L,ambient,O,1,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,
08/06/2020,37,L,ambient,I,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,
08/06/2020,38,C,ambient,O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
08/06/2020,38,C,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,39,E,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
08/06/2020,39,E,ambient,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,40,EL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
08/06/2020,40,EL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
08/06/2020,41,EF,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,41,EF,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,42,EFL,future,O,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,42,EFL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,
08/06/2020,43,FL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,43,FL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,44,F,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,44,F,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,45,L,future,O,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,
08/06/2020,45,L,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
08/06/2020,46,C,future,O,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
08/06/2020,46,C,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,47,EL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,47,EL,future,I,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
08/06/2020,48,E,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1
08/06/2020,48,E,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,49,FL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
08/06/2020,49,FL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,50,F,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,50,F,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,51,EFL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,51,EFL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
08/06/2020,52,EF,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,52,EF,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,53,C,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
08/06/2020,53,C,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,,,
08/06/2020,54,L,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
08/06/2020,54,L,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,55,E,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
08/06/2020,55,E,future,I,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
08/06/2020,56,EL,future,O,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
08/06/2020,56,EL,future,I,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,57,FL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,57,FL,ambient,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,58,F,ambient,O,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
08/06/2020,58,F,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,59,C,ambient,O,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
08/06/2020,59,C,ambient,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,60,L,ambient,O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,60,L,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
08/06/2020,61,EFL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
08/06/2020,61,EFL,ambient,I,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
08/06/2020,62,EF,ambient,O,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,62,EF,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,63,EL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,63,EL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,64,E,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,64,E,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,65,EF,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
08/06/2020,65,EF,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
08/06/2020,66,EFL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,66,EFL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,67,F,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,67,F,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,68,FL,future,O,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,68,FL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,69,C,future,O,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,69,C,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,70,L,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,70,L,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,71,EL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,71,EL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,72,E,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,72,E,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,73,C,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
08/06/2020,73,C,ambient,I,1,,,,,,,,,,,,,,,,,1,,1,,,,,,4,,,,,,,,,9,,,
08/06/2020,74,L,ambient,O,1,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,,,,1,,
08/06/2020,74,L,ambient,I,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
08/06/2020,75,E,ambient,O,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,75,E,ambient,I,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,76,EL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,76,EL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,77,F,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,77,F,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,78,FL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
08/06/2020,78,FL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,79,EFL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,79,EFL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,80,EF,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,80,EF,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
